ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,HIGH_VALUE,PREDICTED_HIGH_VALUE,PRODUCTLINE_DECODED,COUNTRY_DECODED,DEALSIZE_DECODED,CUSTOMERNAME_DECODED
10126,0.3516483516483517,1.0,11,0.5034259341635376,2003-05-28,Shipped,2,5,2003,0,214,S10_1949,24,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,14,EMEA,Sommer,Mart¡n,0,1,1,Classic Cars,Spain,Large,"Corrida Auto Replicas, Ltd"
10140,0.3406593406593407,1.0,11,0.5067375357243431,2003-07-24,Shipped,3,7,2003,0,214,S10_1949,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,0,1,1,Classic Cars,USA,Large,Technics Stores Inc.
10150,0.4285714285714286,1.0,8,0.7728567783793007,2003-09-19,Shipped,3,9,2003,0,214,S10_1949,31,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,13,Japan,Natividad,Eric,0,1,1,Classic Cars,Singapore,Large,"Dragon Souveniers, Ltd."
10174,0.3076923076923077,1.0,4,0.5538469795973288,2003-11-06,Shipped,4,11,2003,0,214,S10_1949,7,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,0,APAC,Calaghan,Tony,0,1,1,Classic Cars,Australia,Large,"Australian Gift Network, Co"
10194,0.3956043956043956,1.0,11,0.500580486108405,2003-11-25,Shipped,4,11,2003,0,214,S10_1949,71,78.32.5555,"2, rue du Commerce",,Lyon,,69004,6,EMEA,Saveley,Mary,0,1,1,Classic Cars,France,Large,"Saveley & Henriot, Co."
10206,0.4505494505494506,1.0,6,0.6310542054178214,2003-12-05,Shipped,4,12,2003,0,214,S10_1949,17,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,3,,Tannamuri,Yoshi,0,1,1,Classic Cars,Canada,Large,Canadian Gift Exchange Network
10215,0.3186813186813187,1.0,3,0.4112422402719867,2004-01-29,Shipped,1,1,2004,0,214,S10_1949,90,3105553722,3675 Furth Circle,,Burbank,CA,94019,18,,Thompson,Steve,1,1,1,Classic Cars,USA,Medium,West Coast Collectables Co.
10258,0.2857142857142857,1.0,6,0.5292761312494165,2004-06-15,Shipped,2,6,2004,0,214,S10_1949,82,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,10,Japan,Shimamura,Akiko,0,1,1,Classic Cars,Japan,Large,"Tokyo Collectables, Ltd"
10280,0.3076923076923077,1.0,2,0.5538469795973288,2004-08-17,Shipped,3,8,2004,0,214,S10_1949,2,011-4988555,Via Monte Bianco 34,,Torino,,10100,9,EMEA,Accorti,Paolo,0,1,1,Classic Cars,Italy,Large,Amica Models & Co.
10291,0.3406593406593407,1.0,11,0.4892450151352838,2004-09-08,Shipped,3,9,2004,0,214,S10_1949,72,0695-34 6555,?kergatan 24,,Boras,,S-844 67,15,EMEA,Larsson,Maria,0,1,1,Classic Cars,Sweden,Large,Scandinavian Gift Ideas
10304,0.4505494505494506,1.0,6,0.7125068103262562,2004-10-11,Shipped,4,10,2004,0,214,S10_1949,8,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,6,EMEA,Tonini,Daniel,0,1,1,Classic Cars,France,Large,Auto Assoc. & Cie.
10312,0.4615384615384615,1.0,3,0.8191927309463434,2004-10-21,Shipped,4,10,2004,0,214,S10_1949,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,0,1,1,Classic Cars,USA,Large,Mini Gifts Distributors Ltd.
10322,0.3736263736263737,1.0,1,0.4057351586355673,2004-11-04,Shipped,4,11,2004,0,214,S10_1949,60,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,18,,Young,Valarie,1,1,1,Classic Cars,USA,Medium,Online Diecast Creations Co.
10369,0.3846153846153846,1.0,2,0.2965140687921992,2005-01-20,Shipped,1,1,2005,0,214,S10_1949,22,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,18,,Nelson,Allen,1,1,1,Classic Cars,USA,Medium,Collectables For Less Inc.
10381,0.3296703296703297,1.0,3,0.5714916985707322,2005-02-17,Shipped,1,2,2005,0,214,S10_1949,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,0,1,1,Classic Cars,USA,Large,Corporate Gift Ideas Co.
10424,0.4835164835164836,1.0,6,0.8469340113391475,2005-05-31,In Process,2,5,2005,0,214,S10_1949,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,0,1,1,Classic Cars,Spain,Large,Euro Shopping Channel
10145,0.3406593406593407,1.0,9,0.3463667598728592,2003-08-25,Shipped,3,8,2003,1,118,S10_2016,85,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,18,,Young,Julie,1,1,1,Motorcycles,USA,Medium,Toys4GrownUps.com
10159,0.3406593406593407,1.0,17,0.3334173978193722,2003-10-10,Shipped,4,10,2003,1,118,S10_2016,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,1,1,1,Motorcycles,USA,Medium,Corporate Gift Ideas Co.
10180,0.3956043956043956,1.0,12,0.309798708445981,2003-11-11,Shipped,4,11,2003,1,118,S10_2016,26,20.16.1555,"184, chausse de Tournai",,Lille,,59000,6,EMEA,Rance,Martine,1,1,1,Motorcycles,France,Medium,Daedalus Designs Imports
10223,0.4505494505494506,1.0,4,0.363236517024529,2004-02-20,Shipped,1,2,2004,1,118,S10_2016,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,1,1,1,Motorcycles,Australia,Medium,"Australian Collectors, Co."
10251,0.4175824175824176,1.0,5,0.3878036890829644,2004-05-18,Shipped,2,5,2004,1,118,S10_2016,80,2015559350,7476 Moss Rd.,,Newark,NJ,94019,18,,Brown,William,1,1,1,Motorcycles,USA,Medium,Tekni Collectables Inc.
10263,0.3736263736263737,1.0,5,0.293358341905215,2004-06-28,Shipped,2,6,2004,1,118,S10_2016,35,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,18,,King,Julie,1,0,1,Motorcycles,USA,Medium,Gift Depot Inc.
10285,0.4505494505494506,1.0,9,0.4413356106721214,2004-08-27,Shipped,3,8,2004,1,118,S10_2016,48,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,18,,Hernandez,Marta,1,1,1,Motorcycles,USA,Medium,Marta's Replicas Co.
10318,0.4285714285714286,1.0,4,0.3738323185548948,2004-11-02,Shipped,4,11,2004,1,118,S10_2016,28,2155551555,7586 Pompton St.,,Allentown,PA,70267,18,,Yu,Kyung,1,1,1,Motorcycles,USA,Medium,Diecast Classics Inc.
10374,0.3626373626373627,1.0,5,0.3533561214263709,2005-02-02,Shipped,1,2,2005,1,118,S10_2016,7,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,0,APAC,Calaghan,Tony,1,1,1,Motorcycles,Australia,Medium,"Australian Gift Network, Co"
10402,0.4285714285714286,1.0,1,0.3934857620984849,2005-04-07,Shipped,2,4,2005,1,118,S10_2016,9,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,6,EMEA,Perrier,Dominique,1,1,1,Motorcycles,France,Medium,Auto Canal Petit
10417,0.4285714285714286,1.0,5,0.3974230681282614,2005-05-13,Disputed,2,5,2005,1,118,S10_2016,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,1,1,1,Motorcycles,Spain,Medium,Euro Shopping Channel
10120,0.4395604395604396,1.0,2,0.6457571575517973,2003-04-29,Shipped,2,4,2003,1,193,S10_4698,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,0,1,1,Motorcycles,Australia,Large,"Australian Collectors, Co."
10134,0.2747252747252747,1.0,4,0.4809946862911901,2003-07-01,Shipped,3,7,2003,1,193,S10_4698,46,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,6,EMEA,Da Cunha,Daniel,0,1,1,Motorcycles,France,Large,Lyon Souveniers
10180,0.3846153846153846,1.0,11,0.6184085048751276,2003-11-11,Shipped,4,11,2003,1,193,S10_4698,26,20.16.1555,"184, chausse de Tournai",,Lille,,59000,6,EMEA,Rance,Martine,0,1,1,Motorcycles,France,Large,Daedalus Designs Imports
10188,0.4285714285714286,1.0,3,0.6053062091794009,2003-11-18,Shipped,4,11,2003,1,193,S10_4698,40,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,11,EMEA,Oeztan,Veysel,0,1,1,Motorcycles,Norway,Large,Herkku Gifts
10201,0.4725274725274726,1.0,4,0.5576019416690503,2003-12-01,Shipped,4,12,2003,1,193,S10_4698,56,6505555787,5557 North Pendale Street,,San Francisco,CA,,18,,Murphy,Julie,0,1,1,Motorcycles,USA,Large,Mini Wheels Co.
10223,0.4725274725274726,1.0,3,0.6831942838110183,2004-02-20,Shipped,1,2,2004,1,193,S10_4698,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,0,1,1,Motorcycles,Australia,Large,"Australian Collectors, Co."
10237,0.3626373626373627,1.0,9,0.4809888042280271,2004-04-05,Shipped,2,4,2004,1,193,S10_4698,88,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,18,,Frick,Michael,0,1,1,Motorcycles,USA,Large,Vitachrome Inc.
10251,0.4065934065934066,1.0,4,0.4849834603736435,2004-05-18,Shipped,2,5,2004,1,193,S10_4698,80,2015559350,7476 Moss Rd.,,Newark,NJ,94019,18,,Brown,William,0,1,1,Motorcycles,USA,Large,Tekni Collectables Inc.
10263,0.3846153846153846,1.0,4,0.577531106923409,2004-06-28,Shipped,2,6,2004,1,193,S10_4698,35,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,18,,King,Julie,0,1,1,Motorcycles,USA,Large,Gift Depot Inc.
10275,0.3296703296703297,1.0,3,0.4720201284201442,2004-07-23,Shipped,3,7,2004,1,193,S10_4698,44,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,6,EMEA,Labrune,Janine,1,1,1,Motorcycles,France,Medium,La Rochelle Gifts
10318,0.3406593406593407,1.0,3,0.5282835330906493,2004-11-02,Shipped,4,11,2004,1,193,S10_4698,28,2155551555,7586 Pompton St.,,Allentown,PA,70267,18,,Yu,Kyung,0,1,1,Motorcycles,USA,Large,Diecast Classics Inc.
10403,0.6593406593406594,1.0,9,0.838522661015965,2005-04-08,Shipped,2,4,2005,1,193,S10_4698,86,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,17,EMEA,Devon,Elizabeth,0,1,1,Motorcycles,UK,Large,"UK Collectables, Ltd."
10417,0.5494505494505495,1.0,4,0.6423235031803581,2005-05-13,Disputed,2,5,2005,1,193,S10_4698,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,0,1,1,Motorcycles,Spain,Large,Euro Shopping Channel
10105,0.4835164835164836,1.0,2,0.4945249020820299,2003-02-11,Shipped,1,2,2003,0,136,S10_4757,27,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,4,EMEA,Petersen,Jytte,0,1,1,Classic Cars,Denmark,Large,Danish Wholesale Imports
10119,0.4395604395604396,1.0,11,0.3325328825712263,2003-04-28,Shipped,2,4,2003,0,136,S10_4757,70,6562-9555,Geislweg 14,,Salzburg,,5020,1,EMEA,Pipps,Georg,1,1,1,Classic Cars,Austria,Medium,Salzburg Collectables
10143,0.4725274725274726,1.0,15,0.3761307347358624,2003-08-10,Shipped,3,8,2003,0,136,S10_4757,54,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,18,,Tam,Wing C,1,1,1,Classic Cars,USA,Medium,Mini Creations Ltd.
10167,0.4175824175824176,1.0,9,0.4001295524411666,2003-10-23,Cancelled,4,10,2003,0,136,S10_4757,72,0695-34 6555,?kergatan 24,,Boras,,S-844 67,15,EMEA,Larsson,Maria,1,1,1,Classic Cars,Sweden,Medium,Scandinavian Gift Ideas
10197,0.4285714285714286,1.0,6,0.35603172490767,2003-11-26,Shipped,4,11,2003,0,136,S10_4757,32,(93) 203 4555,"Rambla de Catalu¤a, 23",,Barcelona,,8022,14,EMEA,Saavedra,Eduardo,1,1,1,Classic Cars,Spain,Medium,Enaco Distributors
10209,0.3626373626373627,1.0,8,0.3467321830468646,2004-01-09,Shipped,1,1,2004,0,136,S10_4757,49,2155554369,6047 Douglas Av.,,Los Angeles,CA,,18,,Chandler,Michael,1,1,1,Classic Cars,USA,Medium,"Men 'R' US Retailers, Ltd."
10222,0.4725274725274726,1.0,12,0.4055292864248601,2004-02-19,Shipped,1,2,2004,0,136,S10_4757,21,7605558146,361 Furth Circle,,San Diego,CA,91217,18,,Thompson,Valarie,1,1,1,Classic Cars,USA,Medium,Collectable Mini Designs Co.
10373,0.3626373626373627,1.0,3,0.2620547370092797,2005-01-31,Shipped,1,1,2005,0,136,S10_4757,63,981-443655,Torikatu 38,,Oulu,,90110,5,EMEA,Koskitalo,Pirkko,1,0,1,Classic Cars,Finland,Medium,"Oulu Toy Supplies, Inc."
10400,0.6373626373626374,1.0,9,0.6749160151669,2005-04-01,Shipped,2,4,2005,0,136,S10_4757,81,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,18,,Frick,Sue,0,1,1,Classic Cars,USA,Large,The Sharp Gifts Warehouse
10103,0.3956043956043956,1.0,4,0.3614623397229696,2003-01-29,Shipped,1,1,2003,0,147,S10_4962,11,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,11,EMEA,Bergulfsen,Jonas,1,1,1,Classic Cars,Norway,Medium,Baane Mini Imports
10217,0.4615384615384615,1.0,4,0.480737346027806,2004-02-04,Shipped,1,2,2004,0,147,S10_4962,38,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,13,APAC,Victorino,Wendy,0,1,1,Classic Cars,Singapore,Large,Handji Gifts& Co
10229,0.4835164835164836,1.0,9,0.437064497557841,2004-03-11,Shipped,1,3,2004,0,147,S10_4962,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,1,1,1,Classic Cars,USA,Medium,Mini Gifts Distributors Ltd.
10281,0.4175824175824176,1.0,9,0.4807491101541322,2004-08-19,Shipped,3,8,2004,0,147,S10_4962,28,2155551555,7586 Pompton St.,,Allentown,PA,70267,18,,Yu,Kyung,0,1,1,Classic Cars,USA,Large,Diecast Classics Inc.
10305,0.3516483516483517,1.0,13,0.4557606353216423,2004-10-13,Shipped,4,10,2004,0,147,S10_4962,48,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,18,,Hernandez,Marta,1,1,1,Classic Cars,USA,Medium,Marta's Replicas Co.
10313,0.3736263736263737,1.0,7,0.4555562336267258,2004-10-22,Shipped,4,10,2004,0,147,S10_4962,17,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,3,,Tannamuri,Yoshi,1,1,1,Classic Cars,Canada,Medium,Canadian Gift Exchange Network
10357,0.4065934065934066,1.0,9,0.3895977183476992,2004-12-10,Shipped,4,12,2004,0,147,S10_4962,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,1,1,1,Classic Cars,USA,Medium,Mini Gifts Distributors Ltd.
10381,0.3406593406593407,1.0,6,0.4227299096294521,2005-02-17,Shipped,1,2,2005,0,147,S10_4962,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,1,1,1,Classic Cars,USA,Medium,Corporate Gift Ideas Co.
10425,0.3516483516483517,1.0,12,0.3979811288708572,2005-05-31,In Process,2,5,2005,0,147,S10_4962,44,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,6,EMEA,Labrune,Janine,1,1,1,Classic Cars,France,Medium,La Rochelle Gifts
10122,0.3956043956043956,1.0,10,0.5233396590020933,2003-05-08,Shipped,2,5,2003,0,194,S12_1099,47,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,6,EMEA,Lebihan,Laurence,0,1,1,Classic Cars,France,Large,Marseille Mini Autos
10135,0.3956043956043956,1.0,7,0.553386708154819,2003-07-02,Shipped,3,7,2003,0,194,S12_1099,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,0,1,1,Classic Cars,USA,Large,Mini Gifts Distributors Ltd.
10147,0.4615384615384615,1.0,7,0.6443528149716156,2003-09-05,Shipped,3,9,2003,0,194,S12_1099,22,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,18,,Nelson,Allen,0,1,1,Classic Cars,USA,Large,Collectables For Less Inc.
10159,0.3846153846153846,1.0,2,0.5745466951260491,2003-10-10,Shipped,4,10,2003,0,194,S12_1099,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,0,1,1,Classic Cars,USA,Large,Corporate Gift Ideas Co.
10211,0.3846153846153846,1.0,2,0.5159135542587241,2004-01-15,Shipped,1,1,2004,0,194,S12_1099,9,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,6,EMEA,Perrier,Dominique,0,1,1,Classic Cars,France,Large,Auto Canal Petit
10266,0.4175824175824176,1.0,14,0.6380737125450439,2004-07-06,Shipped,3,7,2004,0,194,S12_1099,42,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,9,EMEA,Moroni,Maurizio,0,1,1,Classic Cars,Italy,Large,L'ordine Souveniers
10276,0.4835164835164836,1.0,3,0.6726778901333539,2004-08-02,Shipped,3,8,2004,0,194,S12_1099,61,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,18,,Barajas,Miguel,0,1,1,Classic Cars,USA,Large,Online Mini Collectables
10105,0.3846153846153846,1.0,15,0.6035165914620384,2003-02-11,Shipped,1,2,2003,0,207,S12_1108,27,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,4,EMEA,Petersen,Jytte,0,1,1,Classic Cars,Denmark,Large,Danish Wholesale Imports
10127,0.4395604395604396,1.0,2,0.7938630964503958,2003-06-03,Shipped,2,6,2003,0,207,S12_1108,58,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,18,,Young,Jeff,0,1,1,Classic Cars,USA,Large,Muscle Machine Inc
10142,0.2967032967032967,1.0,12,0.5544697430347183,2003-08-08,Shipped,3,8,2003,0,207,S12_1108,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,0,1,1,Classic Cars,USA,Large,Mini Gifts Distributors Ltd.
10165,0.4175824175824176,1.0,3,0.5964698797926868,2003-10-22,Shipped,4,10,2003,0,207,S12_1108,31,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,13,Japan,Natividad,Eric,0,1,1,Classic Cars,Singapore,Large,"Dragon Souveniers, Ltd."
10176,0.2967032967032967,1.0,2,0.5141195249939894,2003-11-06,Shipped,4,11,2003,0,207,S12_1108,42,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,9,EMEA,Moroni,Maurizio,0,1,1,Classic Cars,Italy,Large,L'ordine Souveniers
10196,0.4505494505494506,1.0,5,0.6180261707695285,2003-11-26,Shipped,4,11,2003,0,207,S12_1108,78,2035559545,567 North Pendale Street,,New Haven,CT,97823,18,,Murphy,Leslie,0,1,1,Classic Cars,USA,Large,Super Scale Inc.
10208,0.4395604395604396,1.0,13,0.5970874964248086,2004-01-02,Shipped,1,1,2004,0,207,S12_1108,71,78.32.5555,"2, rue du Commerce",,Lyon,,69004,6,EMEA,Saveley,Mary,0,1,1,Classic Cars,France,Large,"Saveley & Henriot, Co."
10220,0.2857142857142857,1.0,2,0.4925720571118923,2004-02-12,Shipped,1,2,2004,0,207,S12_1108,20,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,8,EMEA,Cassidy,Dean,0,1,1,Classic Cars,Ireland,Large,"Clover Collections, Co."
10231,0.3956043956043956,1.0,2,0.5805927207997843,2004-03-19,Shipped,1,3,2004,0,207,S12_1108,15,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,14,EMEA,Fernandez,Jesus,0,1,1,Classic Cars,Spain,Large,CAF Imports
10247,0.4175824175824176,1.0,2,0.7443802400911134,2004-05-05,Shipped,2,5,2004,0,207,S12_1108,77,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,5,EMEA,Suominen,Kalle,0,1,1,Classic Cars,Finland,Large,Suominen Souveniers
10272,0.3186813186813187,1.0,2,0.392353464939595,2004-07-20,Shipped,3,7,2004,0,207,S12_1108,28,2155551555,7586 Pompton St.,,Allentown,PA,70267,18,,Yu,Kyung,1,1,1,Classic Cars,USA,Medium,Diecast Classics Inc.
10282,0.3846153846153846,1.0,5,0.4844717208784569,2004-08-20,Shipped,3,8,2004,0,207,S12_1108,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,0,1,1,Classic Cars,USA,Large,Mini Gifts Distributors Ltd.
10293,0.4395604395604396,1.0,8,0.5830176013387577,2004-09-09,Shipped,3,9,2004,0,207,S12_1108,2,011-4988555,Via Monte Bianco 34,,Torino,,10100,9,EMEA,Accorti,Paolo,0,1,1,Classic Cars,Italy,Large,Amica Models & Co.
10314,0.3516483516483517,1.0,5,0.5509515340053102,2004-10-22,Shipped,4,10,2004,0,207,S12_1108,39,86 21 3555,Smagsloget 45,,Aaarhus,,8200,4,EMEA,Ibsen,Palle,0,1,1,Classic Cars,Denmark,Large,Heintze Collectables
10359,0.3956043956043956,1.0,8,0.3148631648293797,2004-12-15,Shipped,4,12,2004,0,207,S12_1108,66,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,6,EMEA,Henriot,Paul,1,1,1,Classic Cars,France,Medium,Reims Collectables
10413,0.3296703296703297,1.0,2,0.6025931075454372,2005-05-05,Shipped,2,5,2005,0,207,S12_1108,35,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,18,,King,Julie,0,1,1,Classic Cars,USA,Large,Gift Depot Inc.
10140,0.3516483516483517,1.0,8,0.3196658694020222,2003-07-24,Shipped,3,7,2003,5,136,S12_1666,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,1,1,1,Trucks and Buses,USA,Medium,Technics Stores Inc.
10164,0.4725274725274726,1.0,6,0.4471051793771926,2003-10-21,Resolved,4,10,2003,5,136,S12_1666,51,7675-3555,Kirchgasse 6,,Graz,,8010,1,EMEA,Mendel,Roland,1,1,1,Trucks and Buses,Austria,Medium,Mini Auto Werke
10174,0.4065934065934066,1.0,1,0.4657924940462493,2003-11-06,Shipped,4,11,2003,5,136,S12_1666,7,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,0,APAC,Calaghan,Tony,1,1,1,Trucks and Buses,Australia,Medium,"Australian Gift Network, Co"
10183,0.3846153846153846,1.0,5,0.4177595662566624,2003-11-13,Shipped,4,11,2003,5,136,S12_1666,18,2155554695,782 First Street,,Philadelphia,PA,71270,18,,Cervantes,Francisca,1,1,1,Trucks and Buses,USA,Medium,"Classic Gift Ideas, Inc"
10194,0.3516483516483517,1.0,8,0.3273213746087509,2003-11-25,Shipped,4,11,2003,5,136,S12_1666,71,78.32.5555,"2, rue du Commerce",,Lyon,,69004,6,EMEA,Saveley,Mary,1,1,1,Trucks and Buses,France,Medium,"Saveley & Henriot, Co."
10216,0.4065934065934066,1.0,1,0.3880169138726255,2004-02-02,Shipped,1,2,2004,5,136,S12_1666,8,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,6,EMEA,Tonini,Daniel,1,1,1,Trucks and Buses,France,Medium,Auto Assoc. & Cie.
10245,0.3516483516483517,1.0,6,0.3998530954725025,2004-05-04,Shipped,2,5,2004,5,136,S12_1666,78,2035559545,567 North Pendale Street,,New Haven,CT,97823,18,,Murphy,Leslie,1,1,1,Trucks and Buses,USA,Medium,Super Scale Inc.
