ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10318,0.43956043956043966,0.9280634573304156,1,0.2849793429294293,2004-11-02,Shipped,4,11,2004,1,95,S10_1678,28,2155551555,7586 Pompton St.,,Allentown,PA,70267,18,,Yu,Kyung,1
10329,0.39560439560439564,1.0,1,0.2877806755108389,2004-11-15,Shipped,4,11,2004,1,95,S10_1678,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,1
10341,0.38461538461538464,1.0,9,0.5334884237320663,2004-11-24,Shipped,4,11,2004,1,95,S10_1678,70,6562-9555,Geislweg 14,,Salzburg,,5020,1,EMEA,Pipps,Georg,0
10361,0.15384615384615385,0.624589715536105,13,0.07123693170998195,2004-12-17,Shipped,4,12,2004,1,95,S10_1678,75,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,0,APAC,Huxley,Adrian,2
10375,0.16483516483516486,0.10981947483588617,12,0.018453502658324922,2005-02-03,Shipped,1,2,2005,1,95,S10_1678,44,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,6,EMEA,Labrune,Janine,2
10388,0.39560439560439564,0.6766958424507659,4,0.20035704123399808,2005-03-03,Shipped,1,3,2005,1,95,S10_1678,34,5085552555,1785 First Street,,New Bedford,MA,50553,18,,Benitez,Violeta,1
10403,0.19780219780219782,1.0,7,0.14355395726828166,2005-04-08,Shipped,2,4,2005,1,95,S10_1678,86,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,17,EMEA,Devon,Elizabeth,2
10417,0.6593406593406594,1.0,2,0.5171767273229922,2005-05-13,Disputed,2,5,2005,1,95,S10_1678,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,0
10103,0.21978021978021983,1.0,11,0.36192996374443326,2003-01-29,Shipped,1,1,2003,0,214,S10_1949,11,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,11,EMEA,Bergulfsen,Jonas,1
10112,0.2527472527472528,1.0,1,0.4946065157084174,2003-03-24,Shipped,1,3,2003,0,214,S10_1949,89,0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,15,EMEA,Berglund,Christina,0
10126,0.3516483516483517,1.0,11,0.5034259341635376,2003-05-28,Shipped,2,5,2003,0,214,S10_1949,24,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,14,EMEA,Sommer,Mart¡n,0
10140,0.3406593406593407,1.0,11,0.5067375357243431,2003-07-24,Shipped,3,7,2003,0,214,S10_1949,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,0
10150,0.4285714285714286,1.0,8,0.7728567783793007,2003-09-19,Shipped,3,9,2003,0,214,S10_1949,31,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,13,Japan,Natividad,Eric,0
10163,0.16483516483516486,1.0,1,0.3219039944355683,2003-10-20,Shipped,4,10,2003,0,214,S10_1949,19,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,18,,Hernandez,Maria,1
10174,0.3076923076923077,1.0,4,0.5538469795973288,2003-11-06,Shipped,4,11,2003,0,214,S10_1949,7,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,0,APAC,Calaghan,Tony,0
10183,0.18681318681318687,1.0,8,0.3595734621897304,2003-11-13,Shipped,4,11,2003,0,214,S10_1949,18,2155554695,782 First Street,,Philadelphia,PA,71270,18,,Cervantes,Francisca,1
10194,0.39560439560439564,1.0,11,0.500580486108405,2003-11-25,Shipped,4,11,2003,0,214,S10_1949,71,78.32.5555,"2, rue du Commerce",,Lyon,,69004,6,EMEA,Saveley,Mary,0
10206,0.4505494505494506,1.0,6,0.6310542054178214,2003-12-05,Shipped,4,12,2003,0,214,S10_1949,17,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,3,,Tannamuri,Yoshi,0
10215,0.3186813186813187,1.0,3,0.41124224027198675,2004-01-29,Shipped,1,1,2004,0,214,S10_1949,90,3105553722,3675 Furth Circle,,Burbank,CA,94019,18,,Thompson,Steve,1
10228,0.2527472527472528,1.0,2,0.4397650998075831,2004-03-10,Shipped,1,3,2004,0,214,S10_1949,16,6175555555,4658 Baden Av.,,Cambridge,MA,51247,18,,Tseng,Kyung,1
10245,0.3076923076923077,1.0,9,0.4145538418327922,2004-05-04,Shipped,2,5,2004,0,214,S10_1949,78,2035559545,567 North Pendale Street,,New Haven,CT,97823,18,,Murphy,Leslie,1
10258,0.28571428571428575,1.0,6,0.5292761312494165,2004-06-15,Shipped,2,6,2004,0,214,S10_1949,82,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,10,Japan,Shimamura,Akiko,0
10270,0.16483516483516486,1.0,9,0.32522368383322303,2004-07-19,Shipped,3,7,2004,0,214,S10_1949,75,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,0,APAC,Huxley,Adrian,1
10280,0.3076923076923077,1.0,2,0.5538469795973288,2004-08-17,Shipped,3,8,2004,0,214,S10_1949,2,011-4988555,Via Monte Bianco 34,,Torino,,10100,9,EMEA,Accorti,Paolo,0
10291,0.3406593406593407,1.0,11,0.48924501513528384,2004-09-08,Shipped,3,9,2004,0,214,S10_1949,72,0695-34 6555,?kergatan 24,,Boras,,S-844 67,15,EMEA,Larsson,Maria,0
10304,0.4505494505494506,1.0,6,0.7125068103262562,2004-10-11,Shipped,4,10,2004,0,214,S10_1949,8,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,6,EMEA,Tonini,Daniel,0
10312,0.46153846153846156,1.0,3,0.8191927309463434,2004-10-21,Shipped,4,10,2004,0,214,S10_1949,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,0
10322,0.3736263736263737,1.0,1,0.4057351586355673,2004-11-04,Shipped,4,11,2004,0,214,S10_1949,60,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,18,,Young,Valarie,1
10333,0.21978021978021983,1.0,3,0.18534895707343832,2004-11-18,Shipped,4,11,2004,0,214,S10_1949,56,6505555787,5557 North Pendale Street,,San Francisco,CA,,18,,Murphy,Julie,1
10347,0.2637362637362638,1.0,1,0.2545881930816644,2004-11-29,Shipped,4,11,2004,0,214,S10_1949,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,1
10357,0.28571428571428575,1.0,10,0.38304804101562656,2004-12-10,Shipped,4,12,2004,0,214,S10_1949,55,4155551450,5677 Strong St.,,San Rafael,CA,97562,18,,Nelson,Valarie,1
10369,0.38461538461538464,1.0,2,0.29651406879219927,2005-01-20,Shipped,1,1,2005,0,214,S10_1949,22,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,18,,Nelson,Allen,1
10381,0.3296703296703297,1.0,3,0.5714916985707322,2005-02-17,Shipped,1,2,2005,0,214,S10_1949,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,0
10391,0.19780219780219782,1.0,4,0.14223049305659208,2005-03-09,Shipped,1,3,2005,0,214,S10_1949,3,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,0,APAC,O'Hara,Anna,2
10411,0.18681318681318687,1.0,9,0.26896469071009005,2005-05-01,Shipped,2,5,2005,0,214,S10_1949,65,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,3,,Fresnisre,Jean,1
10424,0.4835164835164836,1.0,6,0.8469340113391475,2005-05-31,In Process,2,5,2005,0,214,S10_1949,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,0
10107,0.3626373626373627,0.9987691466083151,5,0.2510435147680225,2003-02-24,Shipped,1,2,2003,1,118,S10_2016,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,1
10120,0.2527472527472528,0.949945295404814,3,0.1699717734493963,2003-04-29,Shipped,2,4,2003,1,118,S10_2016,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,2
10134,0.23076923076923078,1.0,5,0.20775741195102893,2003-07-01,Shipped,3,7,2003,1,118,S10_2016,46,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,6,EMEA,Da Cunha,Daniel,1
10145,0.3406593406593407,1.0,9,0.34636675987285925,2003-08-25,Shipped,3,8,2003,1,118,S10_2016,85,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,18,,Young,Julie,1
10159,0.3406593406593407,1.0,17,0.3334173978193722,2003-10-10,Shipped,4,10,2003,1,118,S10_2016,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,1
10168,0.23076923076923078,1.0,4,0.2337237797843783,2003-10-28,Shipped,4,10,2003,1,118,S10_2016,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,1
10180,0.39560439560439564,1.0,12,0.30979870844598106,2003-11-11,Shipped,4,11,2003,1,118,S10_2016,26,20.16.1555,"184, chausse de Tournai",,Lille,,59000,6,EMEA,Rance,Martine,1
10188,0.3516483516483517,0.949945295404814,4,0.23372304452648296,2003-11-18,Shipped,4,11,2003,1,118,S10_2016,40,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,11,EMEA,Oeztan,Veysel,1
10201,0.19780219780219782,1.0,5,0.18703416816965637,2003-12-01,Shipped,4,12,2003,1,118,S10_2016,56,6505555787,5557 North Pendale Street,,San Francisco,CA,,18,,Murphy,Julie,1
10210,0.18681318681318687,1.0,2,0.18579672913172662,2004-01-12,Shipped,1,1,2004,1,118,S10_2016,62,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,10,Japan,Kentary,Mory,1
10223,0.4505494505494506,1.0,4,0.363236517024529,2004-02-20,Shipped,1,2,2004,1,118,S10_2016,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,1
10236,0.17582417582417587,1.0,1,0.17425244491631664,2004-04-03,Shipped,2,4,2004,1,118,S10_2016,57,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,18,,Hernandez,Rosa,2
10251,0.41758241758241765,1.0,5,0.3878036890829644,2004-05-18,Shipped,2,5,2004,1,118,S10_2016,80,2015559350,7476 Moss Rd.,,Newark,NJ,94019,18,,Brown,William,1
10263,0.3736263736263737,1.0,5,0.29335834190521504,2004-06-28,Shipped,2,6,2004,1,118,S10_2016,35,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,18,,King,Julie,1
10275,0.17582417582417587,1.0,4,0.17810225525654255,2004-07-23,Shipped,3,7,2004,1,118,S10_2016,44,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,6,EMEA,Labrune,Janine,2
10285,0.4505494505494506,1.0,9,0.44133561067212146,2004-08-27,Shipped,3,8,2004,1,118,S10_2016,48,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,18,,Hernandez,Marta,1
10298,0.3626373626373627,0.949945295404814,1,0.2408065190906037,2004-09-27,Shipped,3,9,2004,1,118,S10_2016,4,40.32.2555,"54, rue Royale",,Nantes,,44000,6,EMEA,Schmitt,Carine,1
10308,0.3076923076923077,1.0,2,0.261886362951237,2004-10-15,Shipped,4,10,2004,1,118,S10_2016,53,9145554562,3758 North Pendale Street,,White Plains,NY,24067,18,,Frick,Steve,1
10318,0.4285714285714286,1.0,4,0.3738323185548948,2004-11-02,Shipped,4,11,2004,1,118,S10_2016,28,2155551555,7586 Pompton St.,,Allentown,PA,70267,18,,Yu,Kyung,1
10329,0.15384615384615385,1.0,2,0.1980689186635659,2004-11-15,Shipped,4,11,2004,1,118,S10_2016,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,1
10339,0.3736263736263737,0.574945295404814,4,0.16724690768910652,2004-11-23,Shipped,4,11,2004,1,118,S10_2016,82,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,10,Japan,Shimamura,Akiko,2
10361,0.21978021978021983,0.3319201312910284,8,0.062332958596892675,2004-12-17,Shipped,4,12,2004,1,118,S10_2016,75,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,0,APAC,Huxley,Adrian,2
10374,0.3626373626373627,1.0,5,0.35335612142637096,2005-02-02,Shipped,1,2,2005,1,118,S10_2016,7,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,0,APAC,Calaghan,Tony,1
10388,0.4835164835164836,0.24111050328227568,5,0.12818265570740267,2005-03-03,Shipped,1,3,2005,1,118,S10_2016,34,5085552555,1785 First Street,,New Bedford,MA,50553,18,,Benitez,Violeta,2
10402,0.4285714285714286,1.0,1,0.39348576209848496,2005-04-07,Shipped,2,4,2005,1,118,S10_2016,9,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,6,EMEA,Perrier,Dominique,1
10417,0.4285714285714286,1.0,5,0.39742306812826145,2005-05-13,Disputed,2,5,2005,1,118,S10_2016,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,1
10107,0.23076923076923078,1.0,4,0.41052536382398824,2003-02-24,Shipped,1,2,2003,1,193,S10_4698,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,1
10120,0.43956043956043966,1.0,2,0.6457571575517973,2003-04-29,Shipped,2,4,2003,1,193,S10_4698,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,0
10134,0.27472527472527475,1.0,4,0.48099468629119013,2003-07-01,Shipped,3,7,2003,1,193,S10_4698,46,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,6,EMEA,Da Cunha,Daniel,0
10145,0.29670329670329676,1.0,8,0.34514843754020946,2003-08-25,Shipped,3,8,2003,1,193,S10_4698,85,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,18,,Young,Julie,1
10159,0.17582417582417587,1.0,16,0.2684110415148666,2003-10-10,Shipped,4,10,2003,1,193,S10_4698,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,1
10168,0.15384615384615385,1.0,3,0.2721093887286436,2003-10-28,Shipped,4,10,2003,1,193,S10_4698,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,1
10180,0.38461538461538464,1.0,11,0.6184085048751276,2003-11-11,Shipped,4,11,2003,1,193,S10_4698,26,20.16.1555,"184, chausse de Tournai",,Lille,,59000,6,EMEA,Rance,Martine,0
10188,0.4285714285714286,1.0,3,0.6053062091794009,2003-11-18,Shipped,4,11,2003,1,193,S10_4698,40,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,11,EMEA,Oeztan,Veysel,0
10201,0.4725274725274726,1.0,4,0.5576019416690503,2003-12-01,Shipped,4,12,2003,1,193,S10_4698,56,6505555787,5557 North Pendale Street,,San Francisco,CA,,18,,Murphy,Julie,0
10210,0.3076923076923077,1.0,1,0.41477883074877936,2004-01-12,Shipped,1,1,2004,1,193,S10_4698,62,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,10,Japan,Kentary,Mory,1
10223,0.4725274725274726,1.0,3,0.6831942838110183,2004-02-20,Shipped,1,2,2004,1,193,S10_4698,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,0
10237,0.3626373626373627,1.0,9,0.48098880422802714,2004-04-05,Shipped,2,4,2004,1,193,S10_4698,88,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,18,,Frick,Michael,0
10251,0.40659340659340665,1.0,4,0.4849834603736435,2004-05-18,Shipped,2,5,2004,1,193,S10_4698,80,2015559350,7476 Moss Rd.,,Newark,NJ,94019,18,,Brown,William,0
10263,0.38461538461538464,1.0,4,0.577531106923409,2004-06-28,Shipped,2,6,2004,1,193,S10_4698,35,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,18,,King,Julie,0
10275,0.3296703296703297,1.0,3,0.4720201284201442,2004-07-23,Shipped,3,7,2004,1,193,S10_4698,44,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,6,EMEA,Labrune,Janine,1
10285,0.23076923076923078,1.0,8,0.36438940140448967,2004-08-27,Shipped,3,8,2004,1,193,S10_4698,48,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,18,,Hernandez,Marta,1
10299,0.2527472527472528,1.0,11,0.45594886134286045,2004-09-30,Shipped,3,9,2004,1,193,S10_4698,84,90-224 8555,Keskuskatu 45,,Helsinki,,21240,5,EMEA,Karttunen,Matti,1
10308,0.15384615384615385,1.0,1,0.30059327959578463,2004-10-15,Shipped,4,10,2004,1,193,S10_4698,53,9145554562,3758 North Pendale Street,,White Plains,NY,24067,18,,Frick,Steve,1
10318,0.3406593406593407,1.0,3,0.5282835330906493,2004-11-02,Shipped,4,11,2004,1,193,S10_4698,28,2155551555,7586 Pompton St.,,Allentown,PA,70267,18,,Yu,Kyung,0
10329,0.21978021978021983,1.0,3,0.3960150492586028,2004-11-15,Shipped,4,11,2004,1,193,S10_4698,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,1
10339,0.3626373626373627,0.6809354485776806,3,0.18440268016208028,2004-11-23,Shipped,4,11,2004,1,193,S10_4698,82,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,10,Japan,Shimamura,Akiko,2
10362,0.17582417582417587,1.0,4,0.23395685653721476,2005-01-05,Shipped,1,1,2005,1,193,S10_4698,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,1
10374,0.17582417582417587,1.0,1,0.24647682797979814,2005-02-02,Shipped,1,2,2005,1,193,S10_4698,7,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,0,APAC,Calaghan,Tony,1
10388,0.16483516483516486,0.8190645514223194,7,0.0985274990129163,2005-03-03,Shipped,1,3,2005,1,193,S10_4698,34,5085552555,1785 First Street,,New Bedford,MA,50553,18,,Benitez,Violeta,2
10403,0.6593406593406594,1.0,9,0.838522661015965,2005-04-08,Shipped,2,4,2005,1,193,S10_4698,86,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,17,EMEA,Devon,Elizabeth,0
10417,0.5494505494505495,1.0,4,0.6423235031803581,2005-05-13,Disputed,2,5,2005,1,193,S10_4698,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,0
10105,0.4835164835164836,1.0,2,0.4945249020820299,2003-02-11,Shipped,1,2,2003,0,136,S10_4757,27,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,4,EMEA,Petersen,Jytte,0
10119,0.43956043956043966,1.0,11,0.3325328825712263,2003-04-28,Shipped,2,4,2003,0,136,S10_4757,70,6562-9555,Geislweg 14,,Salzburg,,5020,1,EMEA,Pipps,Georg,1
10129,0.29670329670329676,1.0,2,0.2879350796688693,2003-06-12,Shipped,2,6,2003,0,136,S10_4757,76,(171) 555-0297,35 King George,,London,,WX3 6FW,17,EMEA,Brown,Ann,1
10143,0.4725274725274726,1.0,15,0.3761307347358624,2003-08-10,Shipped,3,8,2003,0,136,S10_4757,54,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,18,,Tam,Wing C,1
10155,0.28571428571428575,1.0,13,0.2973346166034468,2003-10-06,Shipped,4,10,2003,0,136,S10_4757,84,90-224 8555,Keskuskatu 45,,Helsinki,,21240,5,EMEA,Karttunen,Matti,1
10167,0.41758241758241765,1.0,9,0.4001295524411666,2003-10-23,Cancelled,4,10,2003,0,136,S10_4757,72,0695-34 6555,?kergatan 24,,Boras,,S-844 67,15,EMEA,Larsson,Maria,1
10178,0.19780219780219782,1.0,12,0.22133836053665007,2003-11-08,Shipped,4,11,2003,0,136,S10_4757,1,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,6,EMEA,Roulet,Annette,1
10186,0.21978021978021983,1.0,9,0.24793705016002893,2003-11-14,Shipped,4,11,2003,0,136,S10_4757,30,(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,17,EMEA,Hardy,Thomas,1
10197,0.4285714285714286,1.0,6,0.35603172490767004,2003-11-26,Shipped,4,11,2003,0,136,S10_4757,32,(93) 203 4555,"Rambla de Catalu¤a, 23",,Barcelona,,8022,14,EMEA,Saavedra,Eduardo,1
10209,0.3626373626373627,1.0,8,0.34673218304686465,2004-01-09,Shipped,1,1,2004,0,136,S10_4757,49,2155554369,6047 Douglas Av.,,Los Angeles,CA,,18,,Chandler,Michael,1
10222,0.4725274725274726,1.0,12,0.4055292864248601,2004-02-19,Shipped,1,2,2004,0,136,S10_4757,21,7605558146,361 Furth Circle,,San Diego,CA,91217,18,,Thompson,Valarie,1
10248,0.15384615384615385,1.0,3,0.17854046896219086,2004-05-07,Cancelled,2,5,2004,0,136,S10_4757,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,2
10261,0.23076923076923078,1.0,1,0.2129387743397936,2004-06-17,Shipped,2,6,2004,0,136,S10_4757,65,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,3,,Fresnisre,Jean,1
10273,0.2637362637362638,1.0,4,0.22253830142191533,2004-07-21,Shipped,3,7,2004,0,136,S10_4757,64,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,2,EMEA,Dewey,Catherine,1
10283,0.20879120879120883,1.0,6,0.18454017338851691,2004-08-20,Shipped,3,8,2004,0,136,S10_4757,68,(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,3,,Lincoln,Elizabeth,2
10295,0.19780219780219782,1.0,1,0.21653859699558925,2004-09-10,Shipped,3,9,2004,0,136,S10_4757,37,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,18,,Yoshido,Juri,1
10307,0.17582417582417587,1.0,9,0.16254125715865472,2004-10-14,Shipped,4,10,2004,0,136,S10_4757,18,2155554695,782 First Street,,Philadelphia,PA,71270,18,,Cervantes,Francisca,2
10316,0.29670329670329676,1.0,17,0.26813605506199334,2004-11-01,Shipped,4,11,2004,0,136,S10_4757,91,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,17,EMEA,Bennett,Helen,1
10325,0.4505494505494506,0.5203774617067835,6,0.1889303982818494,2004-11-05,Shipped,4,11,2004,0,136,S10_4757,11,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,11,EMEA,Bergulfsen,Jonas,1
10337,0.20879120879120883,0.28952407002188174,8,0.05287386577278915,2004-11-21,Shipped,4,11,2004,0,136,S10_4757,19,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,18,,Hernandez,Maria,2
